record_date,tot_pub_debt_out_amt,record_fiscal_year,record_calendar_year,record_calendar_day
2023-03-15,31458799258235.48,2023,2023,15
2023-03-14,31459299861280.16,2023,2023,14
2023-03-13,31458529688022.21,2023,2023,13
2023-03-10,31460029554847.61,2023,2023,10
2023-03-09,31460529559594.69,2023,2023,09
2023-03-08,31459006159569.62,2023,2023,08
2023-03-07,31459509628188.93,2023,2023,07
2023-03-06,31458698875752.65,2023,2023,06
2023-03-03,31460199203286.73,2023,2023,03
2023-03-02,31460699290015.01,2023,2023,02
2023-03-01,31459077499143.18,2023,2023,01
2023-02-28,31459291458579.46,2023,2023,28
2023-02-27,31456370703428.32,2023,2023,27
2023-02-24,31457850808804.42,2023,2023,24
2023-02-23,31458344513051.40,2023,2023,23
2023-02-22,31454917205702.37,2023,2023,22
2023-02-21,31455409398238.35,2023,2023,21
2023-02-17,31456066828798.54,2023,2023,17
2023-02-16,31456554630496.28,2023,2023,16
2023-02-15,31454875345039.44,2023,2023,15
2023-02-14,31455119626084.09,2023,2023,14
2023-02-13,31454324737379.70,2023,2023,13
2023-02-10,31455746843248.16,2023,2023,10
2023-02-09,31456220930170.68,2023,2023,09
2023-02-08,31454636989653.27,2023,2023,08
2023-02-07,31455106801791.45,2023,2023,07
2023-02-06,31454316628624.35,2023,2023,06
2023-02-03,31455700789201.69,2023,2023,03
2023-02-02,31456162200688.98,2023,2023,02
2023-02-01,31454525403853.71,2023,2023,01
2023-01-31,31454982227739.16,2023,2023,31
2023-01-30,31455902749858.28,2023,2023,30
2023-01-27,31457247193992.49,2023,2023,27
2023-01-26,31457696210437.44,2023,2023,26
2023-01-25,31454408144448.04,2023,2023,25
2023-01-24,31454847829751.33,2023,2023,24
2023-01-23,31453706514493.81,2023,2023,23
2023-01-20,31454980005742.40,2023,2023,20
2023-01-19,31455404534717.58,2023,2023,19
2023-01-18,31414360560928.79,2023,2023,18
2023-01-17,31416438567504.46,2023,2023,17
2023-01-13,31384494575753.76,2023,2023,13
2023-01-12,31384186242930.68,2023,2023,12
2023-01-11,31375141998674.97,2023,2023,11
2023-01-10,31395133116713.19,2023,2023,10
2023-01-09,31388880520361.96,2023,2023,09
2023-01-06,31385444530134.11,2023,2023,06
2023-01-05,31380309986690.02,2023,2023,05
2023-01-04,31375549251149.30,2023,2023,04
2023-01-03,31351186121029.94,2023,2023,03
2022-12-30,31419689421557.90,2023,2022,30
2022-12-29,31326303949171.72,2023,2022,29
2022-12-28,31324396828014.02,2023,2022,28
2022-12-27,31336045318443.84,2023,2022,27
2022-12-23,31345957007436.98,2023,2022,23
2022-12-22,31327478657710.42,2023,2022,22
2022-12-21,31319544673024.08,2023,2022,21
2022-12-20,31336725201001.72,2023,2022,20
2022-12-19,31355252649529.65,2023,2022,19
2022-12-16,31347126959844.32,2023,2022,16
2022-12-15,31319627308434.12,2023,2022,15
2022-12-14,31284312707977.52,2023,2022,14
2022-12-13,31304145125065.10,2023,2022,13
2022-12-12,31317682511738.10,2023,2022,12
2022-12-09,31311339819146.48,2023,2022,09
2022-12-08,31310795117652.48,2023,2022,08
2022-12-07,31335087282739.04,2023,2022,07
2022-12-06,31338545807969.89,2023,2022,06
2022-12-05,31352797927277.98,2023,2022,05
2022-12-02,31350137366089.86,2023,2022,02
2022-12-01,31363224488934.33,2023,2022,01
2022-11-30,31413322465316.30,2023,2022,30
2022-11-29,31373835538691.42,2023,2022,29
2022-11-28,31370818044115.80,2023,2022,28
2022-11-25,31367782185275.16,2023,2022,25
2022-11-23,31334033410564.83,2023,2022,23
2022-11-22,31348462540164.76,2023,2022,22
2022-11-21,31287341857033.42,2023,2022,21
2022-11-18,31282681366945.28,2023,2022,18
2022-11-17,31285200524997.70,2023,2022,17
2022-11-16,31271673609090.21,2023,2022,16
2022-11-15,31288173275005.23,2023,2022,15
2022-11-14,31255281194037.69,2023,2022,14
2022-11-10,31252011952406.60,2023,2022,10
2022-11-09,31243642975784.19,2023,2022,09
2022-11-08,31261637217741.34,2023,2022,08
2022-11-07,31223537674566.50,2023,2022,07
2022-11-04,31220131631576.38,2023,2022,04
2022-11-03,31218945420267.56,2023,2022,03
2022-11-02,31221842669793.73,2023,2022,02
2022-11-01,31211733641873.98,2023,2022,01
2022-10-31,31238301149359.52,2023,2022,31
2022-10-28,31256407799264.82,2023,2022,28
2022-10-27,31257754739246.94,2023,2022,27
2022-10-26,31252264539655.98,2023,2022,26
2022-10-25,31267801464630.43,2023,2022,25
2022-10-24,31230144668950.40,2023,2022,24
2022-10-21,31228593470885.27,2023,2022,21
2022-10-20,31226777244320.88,2023,2022,20
2022-10-19,31221577895299.32,2023,2022,19
2022-10-18,31239007530862.96,2023,2022,18
2022-10-17,31211425992825.15,2023,2022,17
2022-10-14,31148224201748.31,2023,2022,14
2022-10-13,31144952729330.20,2023,2022,13
2022-10-12,31143714678984.68,2023,2022,12
2022-10-11,31151614900188.79,2023,2022,11
2022-10-07,31148886822497.86,2023,2022,07
2022-10-06,31149119741274.67,2023,2022,06
2022-10-05,31142591307260.01,2023,2022,05
2022-10-04,31137019107054.18,2023,2022,04
2022-10-03,31123887781401.34,2023,2022,03
2022-09-30,30928911613306.73,2022,2022,30
2022-09-29,30871364355379.25,2022,2022,29
2022-09-28,30887265175018.58,2022,2022,28
2022-09-27,30906090013949.29,2022,2022,27
2022-09-26,30910232518783.59,2022,2022,26
2022-09-23,30899381846844.68,2022,2022,23
2022-09-22,30894820923257.38,2022,2022,22
2022-09-21,30886263886577.47,2022,2022,21
2022-09-20,30902024272230.49,2022,2022,20
2022-09-19,30900612291409.53,2022,2022,19
2022-09-16,30890599196504.46,2022,2022,16
2022-09-15,30886835217014.00,2022,2022,15
2022-09-14,30885840414162.26,2022,2022,14
2022-09-13,30902439190146.00,2022,2022,13
2022-09-12,30898201768751.74,2022,2022,12
2022-09-09,30894094123383.54,2022,2022,09
2022-09-08,30894123090119.44,2022,2022,08
2022-09-07,30897876626009.31,2022,2022,07
2022-09-06,30887902026844.77,2022,2022,06
2022-09-02,30872035484014.48,2022,2022,02
